TransactionID,ProductID,ProductName,ProductCategory,WarehouseLocation,TransactionType,TransactionDate,Quantity,UnitCost,TotalValue,ReferenceNumber,ReasonCode,StockBefore,StockAfter,ProcessedBy,Notes,CreatedBy,CreatedDate
54,3081,All-Temp Ski Wax Kit,General,Main,Sale,2026-02-04 00:00:00,-15,55.15,-827.25,SO-56309,Customer Sale,46,31,warehouse2,Transaction processed for Main location,system,2026-02-04 00:00:00
55,1581,LED Headlamp - Rechargeable,General,Backup,Adjustment,2025-08-08 00:00:00,-3,214.15,-642.45,ADJ-55,Physical Count,78,75,warehouse1,Transaction processed for Backup location,system,2025-08-08 00:00:00
56,3103,Snowboard Bindings - Pro,General,Backup,Adjustment,2026-02-24 00:00:00,-6,215.82,-1294.92,ADJ-56,System Correction,60,54,warehouse2,Transaction processed for Backup location,system,2026-02-24 00:00:00
57,1561,EcoFire Camping Stove,General,Backup,Sale,2025-11-13 00:00:00,-47,163.13,-7667.11,SO-42749,Customer Sale,65,18,warehouse1,Transaction processed for Backup location,system,2025-11-13 00:00:00
58,3104,Ski Tuning Bench - Portable,General,Backup,Sale,2025-01-10 00:00:00,-32,272.16,-8709.12,SO-79818,Customer Sale,1,-31,system,Transaction processed for Backup location,system,2025-01-10 00:00:00
59,3101,Winter Boots - Insulated,General,Backup,Sale,2026-02-09 00:00:00,-32,222.23,-7111.36,SO-60022,Customer Sale,4,-28,warehouse1,Transaction processed for Backup location,system,2026-02-09 00:00:00
60,1563,CompactCook Camping Stove,General,Backup,Receipt,2025-11-04 00:00:00,92,76.13,7004.23,PO-7369,Purchase Order Receipt,150,242,system,Transaction processed for Backup location,system,2025-11-04 00:00:00
61,3052,Thermal Base Layer Set - Women's,General,Backup,Receipt,2026-02-17 00:00:00,158,131.89,20838.46,PO-3709,Purchase Order Receipt,24,182,warehouse2,Transaction processed for Backup location,system,2026-02-17 00:00:00
62,1543,TrekStar Hiking Sandals,General,Regional,Receipt,2026-01-09 00:00:00,71,45.57,3235.2,PO-2819,Purchase Order Receipt,478,549,system,Transaction processed for Regional location,system,2026-01-09 00:00:00
63,3031,Pro Flex Racing Ski Boots,General,Main,Return,2025-11-23 00:00:00,5,75.78,378.92,RET-72479,Customer Return,86,91,warehouse1,Transaction processed for Main location,system,2025-11-23 00:00:00
64,3011,Alpine Pro Racing Skis - 170cm,General,Main,Damage,2025-06-05 00:00:00,-3,221.46,-664.38,DMG-64,Warehouse Damage,63,60,warehouse2,Transaction processed for Main location,system,2025-06-05 00:00:00
65,1551,BaseCamp Folding Table,General,Backup,Return,2025-04-10 00:00:00,5,79.36,396.8,RET-43228,Customer Return,148,153,warehouse1,Transaction processed for Backup location,system,2025-04-10 00:00:00
66,3013,Beginner's Choice Alpine Skis - 160cm,General,Backup,Sale,2025-09-28 00:00:00,-11,73.13,-804.43,SO-37773,Customer Sale,105,94,system,Transaction processed for Backup location,system,2025-09-28 00:00:00
67,1523,TrailLite Daypack,General,Backup,Sale,2026-01-26 00:00:00,-50,218.73,-10936.5,SO-66964,Customer Sale,425,375,warehouse1,Transaction processed for Backup location,system,2026-01-26 00:00:00
68,1562,PowerBurner Camping Stove,General,Regional,Return,2025-12-20 00:00:00,3,226.47,679.42,RET-28247,Customer Return,111,114,warehouse2,Transaction processed for Regional location,system,2025-12-20 00:00:00
69,3022,Backcountry Explorer XC Skis - 190cm,General,Main,Adjustment,2025-12-18 00:00:00,-6,298.74,-1792.44,ADJ-69,Cycle Count,52,46,warehouse1,Transaction processed for Main location,system,2025-12-18 00:00:00
70,1551,BaseCamp Folding Table,General,Backup,Sale,2025-11-01 00:00:00,-45,99.2,-4464.0,SO-71807,Customer Sale,40,-5,warehouse1,Transaction processed for Backup location,system,2025-11-01 00:00:00
71,1581,LED Headlamp - Rechargeable,General,Main,Receipt,2025-01-29 00:00:00,91,220.98,20109.21,PO-4542,Purchase Order Receipt,100,191,system,Transaction processed for Main location,system,2025-01-29 00:00:00
72,3081,All-Temp Ski Wax Kit,General,Main,Receipt,2025-03-26 00:00:00,44,57.09,2512.06,PO-2233,Purchase Order Receipt,151,195,warehouse2,Transaction processed for Main location,system,2025-03-26 00:00:00
73,1541,TrekReady Hiking Boots,General,Backup,Sale,2025-01-29 00:00:00,-50,70.17,-3508.5,SO-55124,Customer Sale,146,96,warehouse1,Transaction processed for Backup location,system,2025-01-29 00:00:00
74,3022,Backcountry Explorer XC Skis - 190cm,General,Main,Transfer,2025-08-09 00:00:00,-43,298.74,-12845.82,TRF-2626,Warehouse Transfer,72,29,warehouse2,Transaction processed for Main location,system,2025-08-09 00:00:00
75,1521,Adventurer Pro Backpack,General,Main,Return,2025-03-07 00:00:00,4,212.0,848.0,RET-71863,Customer Return,488,492,warehouse2,Transaction processed for Main location,system,2025-03-07 00:00:00
76,1571,CozyNights Sleeping Bag,General,Main,Receipt,2025-07-13 00:00:00,166,264.43,43895.94,PO-6270,Purchase Order Receipt,387,553,warehouse1,Transaction processed for Main location,system,2025-07-13 00:00:00
77,3082,Edge Tuning Tool Set,General,Main,Adjustment,2026-02-28 00:00:00,12,130.95,1571.4,ADJ-77,Physical Count,101,113,system,Transaction processed for Main location,system,2026-02-28 00:00:00
78,3101,Winter Boots - Insulated,General,Backup,Sale,2025-08-16 00:00:00,-8,222.23,-1777.84,SO-60583,Customer Sale,66,58,warehouse1,Transaction processed for Backup location,system,2025-08-16 00:00:00
79,3032,Comfort Fit Recreational Boots,General,Main,Sale,2025-10-17 00:00:00,-35,227.33,-7956.55,SO-88572,Customer Sale,97,62,system,Transaction processed for Main location,system,2025-10-17 00:00:00
80,2091,Spatula,General,Backup,Sale,2025-02-22 00:00:00,-14,245.38,-3435.32,SO-79290,Customer Sale,90,76,system,Transaction processed for Backup location,system,2025-02-22 00:00:00
81,3041,Carbon Fiber Racing Poles - 120cm,General,Backup,Sale,2025-03-17 00:00:00,-4,53.22,-212.88,SO-85764,Customer Sale,83,79,warehouse2,Transaction processed for Backup location,system,2025-03-17 00:00:00
82,3052,Thermal Base Layer Set - Women's,General,Backup,Sale,2026-01-26 00:00:00,-28,137.35,-3845.8,SO-43176,Customer Sale,90,62,system,Transaction processed for Backup location,system,2026-01-26 00:00:00
83,2041,Serving Platter,General,Main,Receipt,2025-04-12 00:00:00,187,276.02,51616.47,PO-2938,Purchase Order Receipt,2389,2576,warehouse1,Transaction processed for Main location,system,2025-04-12 00:00:00
84,1562,PowerBurner Camping Stove,General,Backup,Adjustment,2025-05-23 00:00:00,2,283.09,566.18,ADJ-84,Physical Count,85,87,warehouse1,Transaction processed for Backup location,system,2025-05-23 00:00:00
85,3031,Pro Flex Racing Ski Boots,General,Main,Sale,2026-02-23 00:00:00,-40,94.73,-3789.2,SO-49311,Customer Sale,51,11,warehouse1,Transaction processed for Main location,system,2026-02-23 00:00:00
86,2011,Coffee Maker,General,Main,Receipt,2025-08-20 00:00:00,172,211.3,36342.97,PO-6992,Purchase Order Receipt,1246,1418,system,Transaction processed for Main location,system,2025-08-20 00:00:00
87,1533,RainGuard Hiking Jacket,General,Backup,Sale,2025-09-06 00:00:00,-5,24.58,-122.9,SO-49535,Customer Sale,284,279,warehouse2,Transaction processed for Backup location,system,2025-09-06 00:00:00
88,1542,TrailWalker Hiking Shoes,General,Main,Transfer,2025-01-21 00:00:00,-23,231.16,-5316.68,TRF-6694,Warehouse Transfer,1016,993,warehouse1,Transaction processed for Main location,system,2025-01-21 00:00:00
89,1543,TrekStar Hiking Sandals,General,Regional,Return,2025-10-19 00:00:00,2,35.15,70.3,RET-77383,Customer Return,476,478,warehouse2,Transaction processed for Regional location,system,2025-10-19 00:00:00
90,2022,Fork Set,General,Main,Sale,2025-02-02 00:00:00,-34,95.29,-3239.86,SO-63247,Customer Sale,1581,1547,warehouse1,Transaction processed for Main location,system,2025-02-02 00:00:00
91,2071,Baking Pan,General,Regional,Receipt,2025-06-13 00:00:00,166,168.99,28051.73,PO-2550,Purchase Order Receipt,522,688,warehouse1,Transaction processed for Regional location,system,2025-06-13 00:00:00
92,2112,4-Slice Toaster,General,Main,Receipt,2025-01-13 00:00:00,78,291.66,22749.3,PO-9874,Purchase Order Receipt,785,863,system,Transaction processed for Main location,system,2025-01-13 00:00:00
93,3042,Aluminum All-Mountain Poles - 115cm,General,Backup,Sale,2025-02-23 00:00:00,-15,35.12,-526.8,SO-17642,Customer Sale,38,23,system,Transaction processed for Backup location,system,2025-02-23 00:00:00
94,2041,Serving Platter,General,Main,Return,2025-10-13 00:00:00,2,211.68,423.36,RET-52853,Customer Return,2327,2329,system,Transaction processed for Main location,system,2025-10-13 00:00:00
95,2031,Coffee Mug,General,Main,Sale,2025-01-08 00:00:00,-23,162.08,-3727.84,SO-79715,Customer Sale,1413,1390,warehouse1,Transaction processed for Main location,system,2025-01-08 00:00:00
96,1533,RainGuard Hiking Jacket,General,Regional,Adjustment,2026-01-24 00:00:00,-5,24.58,-122.9,ADJ-96,System Correction,652,647,system,Transaction processed for Regional location,system,2026-01-24 00:00:00
97,3041,Carbon Fiber Racing Poles - 120cm,General,Backup,Receipt,2025-04-21 00:00:00,26,51.49,1338.72,PO-5323,Purchase Order Receipt,74,100,system,Transaction processed for Backup location,system,2025-04-21 00:00:00
98,3091,Freestyle Snowboard - 155cm,General,Main,Damage,2025-09-27 00:00:00,-10,49.71,-497.1,DMG-98,Warehouse Damage,101,91,system,Transaction processed for Main location,system,2025-09-27 00:00:00
99,3101,Winter Boots - Insulated,General,Backup,Sale,2025-12-16 00:00:00,-23,222.23,-5111.29,SO-92174,Customer Sale,24,1,warehouse2,Transaction processed for Backup location,system,2025-12-16 00:00:00
100,2091,Spatula,General,Backup,Sale,2025-02-06 00:00:00,-11,245.38,-2699.18,SO-71531,Customer Sale,52,41,warehouse2,Transaction processed for Backup location,system,2025-02-06 00:00:00
101,1571,CozyNights Sleeping Bag,General,Main,Sale,2025-07-18 00:00:00,-48,277.24,-13307.52,SO-69833,Customer Sale,331,283,warehouse2,Transaction processed for Main location,system,2025-07-18 00:00:00
102,3013,Beginner's Choice Alpine Skis - 160cm,General,Backup,Receipt,2025-11-09 00:00:00,32,71.2,2278.5,PO-7165,Purchase Order Receipt,48,80,warehouse2,Transaction processed for Backup location,system,2025-11-09 00:00:00
103,2012,Espresso Machine,General,Backup,Sale,2025-06-11 00:00:00,-49,254.94,-12492.06,SO-47642,Customer Sale,442,393,warehouse2,Transaction processed for Backup location,system,2025-06-11 00:00:00
104,2081,Food Storage Set,General,Main,Damage,2025-10-02 00:00:00,-8,105.95,-847.6,DMG-104,Shipping Damage,99,91,warehouse1,Transaction processed for Main location,system,2025-10-02 00:00:00
105,3103,Snowboard Bindings - Pro,General,Main,Receipt,2025-02-13 00:00:00,62,209.49,12988.55,PO-5098,Purchase Order Receipt,66,128,system,Transaction processed for Main location,system,2025-02-13 00:00:00
106,3052,Thermal Base Layer Set - Women's,General,Backup,Sale,2025-12-02 00:00:00,-42,137.35,-5768.7,SO-93189,Customer Sale,38,-4,warehouse1,Transaction processed for Backup location,system,2025-12-02 00:00:00
107,3052,Thermal Base Layer Set - Women's,General,Backup,Receipt,2025-07-19 00:00:00,83,142.77,11849.99,PO-7643,Purchase Order Receipt,9,92,warehouse2,Transaction processed for Backup location,system,2025-07-19 00:00:00
108,3012,Mountain Master All-Terrain Skis - 165cm,General,Main,Damage,2025-01-21 00:00:00,-2,165.61,-331.22,DMG-108,Shipping Damage,20,18,system,Transaction processed for Main location,system,2025-01-21 00:00:00
109,3011,Alpine Pro Racing Skis - 170cm,General,Backup,Transfer,2025-06-30 00:00:00,-43,221.46,-9522.78,TRF-3719,Warehouse Transfer,66,23,warehouse1,Transaction processed for Backup location,system,2025-06-30 00:00:00
110,2061,Mixing Bowl,General,Main,Adjustment,2025-08-30 00:00:00,12,166.19,1994.28,ADJ-110,System Correction,1694,1706,warehouse2,Transaction processed for Main location,system,2025-08-30 00:00:00
111,3012,Mountain Master All-Terrain Skis - 165cm,General,Backup,Sale,2025-03-25 00:00:00,-15,165.61,-2484.15,SO-20390,Customer Sale,26,11,warehouse2,Transaction processed for Backup location,system,2025-03-25 00:00:00
112,2031,Coffee Mug,General,Main,Receipt,2025-09-05 00:00:00,196,157.52,30873.37,PO-4652,Purchase Order Receipt,1304,1500,warehouse2,Transaction processed for Main location,system,2025-09-05 00:00:00
113,1572,MountainDream Sleeping Bag,General,Main,Receipt,2025-09-01 00:00:00,47,294.63,13847.47,PO-4280,Purchase Order Receipt,237,284,system,Transaction processed for Main location,system,2025-09-01 00:00:00
114,2021,Chef Knife,General,Main,Sale,2026-02-25 00:00:00,-31,259.67,-8049.77,SO-76220,Customer Sale,617,586,warehouse2,Transaction processed for Main location,system,2026-02-25 00:00:00
115,1532,TrailBlaze Hiking Pants,General,Main,Transfer,2025-12-18 00:00:00,-14,100.6,-1408.4,TRF-7671,Warehouse Transfer,79,65,system,Transaction processed for Main location,system,2025-12-18 00:00:00
116,2111,High-Speed Blender,General,Backup,Sale,2025-02-25 00:00:00,-26,55.39,-1440.14,SO-69989,Customer Sale,1013,987,system,Transaction processed for Backup location,system,2025-02-25 00:00:00
117,1562,PowerBurner Camping Stove,General,Regional,Receipt,2025-02-06 00:00:00,187,277.55,51901.27,PO-6679,Purchase Order Receipt,23,210,system,Transaction processed for Regional location,system,2025-02-06 00:00:00
118,2112,4-Slice Toaster,General,Main,Receipt,2025-04-28 00:00:00,103,302.42,31149.26,PO-1406,Purchase Order Receipt,865,968,warehouse2,Transaction processed for Main location,system,2025-04-28 00:00:00
119,3104,Ski Tuning Bench - Portable,General,Main,Sale,2026-02-05 00:00:00,-47,272.16,-12791.52,SO-38051,Customer Sale,36,-11,system,Transaction processed for Main location,system,2026-02-05 00:00:00
120,2041,Serving Platter,General,Main,Damage,2026-02-06 00:00:00,-1,264.6,-264.6,DMG-120,Warehouse Damage,2410,2409,warehouse2,Transaction processed for Main location,system,2026-02-06 00:00:00
121,1581,LED Headlamp - Rechargeable,General,Backup,Receipt,2025-02-05 00:00:00,84,217.72,18288.48,PO-1965,Purchase Order Receipt,29,113,warehouse2,Transaction processed for Backup location,system,2025-02-05 00:00:00
122,1543,TrekStar Hiking Sandals,General,Regional,Receipt,2025-05-06 00:00:00,130,43.4,5641.66,PO-1083,Purchase Order Receipt,562,692,system,Transaction processed for Regional location,system,2025-05-06 00:00:00
123,2081,Food Storage Set,General,Main,Sale,2025-09-22 00:00:00,-5,105.95,-529.75,SO-30667,Customer Sale,124,119,system,Transaction processed for Main location,system,2025-09-22 00:00:00
124,1581,LED Headlamp - Rechargeable,General,Main,Receipt,2025-06-04 00:00:00,71,209.4,14867.1,PO-5255,Purchase Order Receipt,74,145,warehouse1,Transaction processed for Main location,system,2025-06-04 00:00:00
125,3101,Winter Boots - Insulated,General,Backup,Sale,2025-02-05 00:00:00,-26,222.23,-5777.98,SO-86126,Customer Sale,41,15,system,Transaction processed for Backup location,system,2025-02-05 00:00:00
126,3011,Alpine Pro Racing Skis - 170cm,General,Main,Sale,2025-09-29 00:00:00,-26,221.46,-5757.96,SO-44291,Customer Sale,22,-4,system,Transaction processed for Main location,system,2025-09-29 00:00:00
127,2031,Coffee Mug,General,Main,Sale,2025-03-03 00:00:00,-4,162.08,-648.32,SO-31331,Customer Sale,1367,1363,system,Transaction processed for Main location,system,2025-03-03 00:00:00
128,3042,Aluminum All-Mountain Poles - 115cm,General,Backup,Sale,2026-03-01 00:00:00,-33,35.12,-1158.96,SO-20083,Customer Sale,108,75,warehouse2,Transaction processed for Backup location,system,2026-03-01 00:00:00
129,1563,CompactCook Camping Stove,General,Backup,Receipt,2025-07-23 00:00:00,118,82.27,9708.36,PO-5351,Purchase Order Receipt,270,388,system,Transaction processed for Backup location,system,2025-07-23 00:00:00
130,2041,Serving Platter,General,Main,Sale,2025-01-17 00:00:00,-19,264.6,-5027.4,SO-75256,Customer Sale,2454,2435,warehouse1,Transaction processed for Main location,system,2025-01-17 00:00:00
131,3082,Edge Tuning Tool Set,General,Main,Sale,2025-10-06 00:00:00,-19,130.95,-2488.05,SO-53559,Customer Sale,142,123,warehouse1,Transaction processed for Main location,system,2025-10-06 00:00:00
132,3104,Ski Tuning Bench - Portable,General,Main,Receipt,2026-02-12 00:00:00,87,279.27,24296.25,PO-3918,Purchase Order Receipt,73,160,warehouse2,Transaction processed for Main location,system,2026-02-12 00:00:00
133,1563,CompactCook Camping Stove,General,Backup,Return,2025-07-28 00:00:00,1,63.11,63.11,RET-14719,Customer Return,211,212,warehouse1,Transaction processed for Backup location,system,2025-07-28 00:00:00
