InventoryID,ProductID,ProductName,ProductCategory,WarehouseLocation,CurrentStock,ReservedStock,AvailableStock,SafetyStockLevel,ReorderPoint,MaxStockLevel,LastUpdated,AverageCost,Status,CreatedBy,CreatedDate
22,1553,Adventure Dining Table,General,Main,9,1,8,2,2,16,2026-03-02 03:27:15,238.43,Active,system,2025-12-01 21:27:15
23,1563,CompactCook Camping Stove,General,Backup,7,0,7,2,3,14,2026-03-02 02:27:15,298.36,Active,system,2025-10-21 21:27:15
24,1581,LED Headlamp - Rechargeable,General,Main,6,1,5,1,1,7,2026-03-01 10:27:15,282.5,Active,system,2026-01-05 21:27:15
25,2011,Coffee Maker,General,Backup,1371,404,967,560,681,3258,2026-03-01 13:27:15,75.16,Active,system,2025-11-04 21:27:15
26,2012,Espresso Machine,General,Backup,4216,725,3491,486,737,4297,2026-02-28 21:27:15,245.29,Active,system,2026-01-21 21:27:15
27,2021,Chef Knife,General,Main,2216,474,1742,294,407,2150,2026-03-02 03:27:15,192.05,Excess,system,2025-12-29 21:27:15
28,2022,Fork Set,General,Main,422,92,330,456,664,1918,2026-03-02 17:27:15,82.43,LowStock,system,2025-11-04 21:27:15
29,2031,Coffee Mug,General,Main,1517,392,1125,453,872,2194,2026-03-01 17:27:15,80.8,Active,system,2026-01-16 21:27:15
30,2031,Coffee Mug,General,Backup,457,0,457,453,872,2194,2026-03-01 17:27:15,80.8,Active,system,2026-01-16 21:27:15
31,2041,Serving Platter,General,Main,202,34,168,515,826,2896,2026-03-02 05:27:15,70.01,LowStock,system,2025-12-29 21:27:15
32,2041,Serving Platter,General,Backup,42,0,42,515,826,2896,2026-03-02 05:27:15,70.01,Active,system,2025-12-29 21:27:15
33,2051,Ice Cream Bowl,General,Backup,1314,329,985,264,527,1484,2026-03-02 07:27:15,58.36,Active,system,2025-10-26 21:27:15
34,2061,Mixing Bowl,General,Main,1483,360,1123,449,819,1569,2026-03-01 04:27:15,129.96,Active,system,2025-11-23 21:27:15
35,2071,Baking Pan,General,Main,1687,454,1233,457,690,2293,2026-03-02 13:27:15,147.18,Active,system,2025-11-17 21:27:15
36,2081,Food Storage Set,General,Main,292,55,237,283,479,1226,2026-03-02 06:27:15,214.68,Active,system,2025-10-11 21:27:15
37,2091,Spatula,General,Main,848,165,683,118,173,1043,2026-03-02 08:27:15,173.52,Active,system,2025-11-25 21:27:15
38,2101,Measuring Cup Set,General,Backup,696,167,529,157,275,667,2026-03-01 07:27:15,180.04,Excess,system,2025-09-14 21:27:15
39,2111,High-Speed Blender,General,Main,1299,150,1149,147,289,1220,2026-03-01 02:27:15,272.16,Excess,system,2025-09-29 21:27:15
40,2111,High-Speed Blender,General,Backup,274,0,274,147,289,1220,2026-03-01 02:27:15,272.16,Active,system,2025-09-29 21:27:15
41,2112,4-Slice Toaster,General,Main,106,11,95,147,183,1009,2026-03-01 22:27:15,127.25,LowStock,system,2025-10-17 21:27:15
42,2121,Bamboo Cutting Board Set,General,Main,653,76,577,114,203,943,2026-03-01 10:27:15,325.61,Active,system,2025-10-20 21:27:15
43,3011,Alpine Pro Racing Skis - 170cm,General,Main,60,7,53,14,21,65,2026-03-01 04:27:15,156.39,Active,system,2025-11-16 21:27:15
44,3012,Mountain Master All-Terrain Skis - 165cm,General,Main,61,16,45,11,13,128,2026-03-01 08:27:15,118.18,Active,system,2025-11-17 21:27:15
45,3013,Beginner's Choice Alpine Skis - 160cm,General,Main,70,8,62,19,28,79,2026-03-01 11:27:15,251.48,Active,system,2025-09-14 21:27:15
46,3013,Beginner's Choice Alpine Skis - 160cm,General,Backup,33,0,33,19,28,79,2026-03-01 11:27:15,251.48,Active,system,2025-09-14 21:27:15
47,3021,Nordic Classic XC Skis - 185cm,General,Main,27,4,23,5,7,48,2026-03-01 09:27:15,304.47,Active,system,2025-10-24 21:27:15
48,3022,Backcountry Explorer XC Skis - 190cm,General,Main,29,7,22,9,14,41,2026-03-01 04:27:15,187.52,Active,system,2025-10-15 21:27:15
49,3031,Pro Flex Racing Ski Boots,General,Regional,37,11,26,13,18,98,2026-03-02 03:27:15,295.37,Active,system,2025-10-25 21:27:15
50,3031,Pro Flex Racing Ski Boots,General,Backup,9,0,9,13,18,98,2026-03-02 03:27:15,295.37,Active,system,2025-10-25 21:27:15
51,3032,Comfort Fit Recreational Boots,General,Main,162,40,122,20,28,139,2026-03-02 01:27:15,46.69,Excess,system,2025-10-08 21:27:15
52,3032,Comfort Fit Recreational Boots,General,Backup,63,0,63,20,28,139,2026-03-02 01:27:15,46.69,Active,system,2025-10-08 21:27:15
53,3033,Women's Performance Ski Boots,General,Backup,84,10,74,17,33,114,2026-03-01 06:27:15,87.65,Active,system,2025-10-23 21:27:15
54,3041,Carbon Fiber Racing Poles - 120cm,General,Main,22,4,18,6,11,44,2026-03-01 23:27:15,301.27,Active,system,2025-11-27 21:27:15
55,3042,Aluminum All-Mountain Poles - 115cm,General,Main,34,7,27,5,7,42,2026-03-01 09:27:15,61.72,Active,system,2025-09-30 21:27:15
56,3051,Insulated Ski Jacket - Men's,General,Main,90,23,67,12,20,97,2026-03-02 11:27:15,309.4,Active,system,2026-01-11 21:27:15
57,3052,Thermal Base Layer Set - Women's,General,Main,32,7,25,12,22,81,2026-03-01 16:27:15,46.87,Active,system,2025-10-31 21:27:15
58,3053,Waterproof Ski Pants,General,Regional,37,5,32,11,14,84,2026-03-01 20:27:15,29.05,Active,system,2025-10-04 21:27:15
59,3053,Waterproof Ski Pants,General,Backup,9,0,9,11,14,84,2026-03-01 20:27:15,29.05,Active,system,2025-10-04 21:27:15
60,3061,Professional Ski Helmet,General,Main,31,5,26,8,14,37,2026-03-01 21:27:15,27.9,Active,system,2026-01-15 21:27:15
61,3062,Anti-Fog Ski Goggles,General,Backup,16,3,13,5,8,47,2026-03-02 17:27:15,82.02,Active,system,2025-11-19 21:27:15
62,3071,Ski Boot Bag - Premium,General,Main,1,0,1,5,6,31,2026-03-01 11:27:15,196.86,LowStock,system,2025-09-13 21:27:15
63,3072,Hand Warmers - 10 Pack,General,Main,3,0,3,6,7,20,2026-03-01 14:27:15,142.08,LowStock,system,2025-10-30 21:27:15
64,3072,Hand Warmers - 10 Pack,General,Backup,1,0,1,6,7,20,2026-03-01 14:27:15,142.08,Active,system,2025-10-30 21:27:15
65,3081,All-Temp Ski Wax Kit,General,Backup,70,10,60,16,20,93,2026-03-02 18:27:15,170.03,Active,system,2025-09-19 21:27:15
66,3082,Edge Tuning Tool Set,General,Backup,16,4,12,21,40,159,2026-03-02 15:27:15,347.07,LowStock,system,2026-01-01 21:27:15
67,3091,Freestyle Snowboard - 155cm,General,Main,5,1,4,11,15,41,2026-03-02 11:27:15,318.81,LowStock,system,2026-01-09 21:27:15
68,3091,Freestyle Snowboard - 155cm,General,Backup,1,0,1,11,15,41,2026-03-02 11:27:15,318.81,Active,system,2026-01-09 21:27:15
69,3092,All-Mountain Snowboard - 158cm,General,Main,18,5,13,10,17,70,2026-03-02 13:27:15,179.94,Active,system,2025-12-26 21:27:15
70,3101,Winter Boots - Insulated,General,Main,35,4,31,5,9,38,2026-03-01 22:27:15,331.78,Active,system,2025-09-24 21:27:15
71,3102,Winter Hiking Boots - Waterproof,General,Regional,3,0,3,7,12,37,2026-03-01 11:27:15,260.4,LowStock,system,2025-10-22 21:27:15
72,3102,Winter Hiking Boots - Waterproof,General,Backup,1,0,1,7,12,37,2026-03-01 11:27:15,260.4,Active,system,2025-10-22 21:27:15
73,3103,Snowboard Bindings - Pro,General,Regional,2,0,2,8,9,55,2026-03-01 18:27:15,203.37,LowStock,system,2025-10-28 21:27:15
74,3103,Snowboard Bindings - Pro,General,Backup,0,0,0,8,9,55,2026-03-01 18:27:15,203.37,OutOfStock,system,2025-10-28 21:27:15
75,3104,Ski Tuning Bench - Portable,General,Main,164,20,144,17,27,159,2026-03-02 10:27:15,74.04,Excess,system,2025-10-17 21:27:15
